#,Folio,Programa,Tipo,Área,Carrera,Coordinador que inscribe,Curso de Inducción,Empresa,Domicilio
,,,,,"Ing.en Cs de la Computación (Instituto de Estudios Superiores en Arquitectura y Diseño, A.C.)",Monserrat Marlene Vázquez Morales,--,SECRETARIA GENERAL,"4 SUR 303 COL: CENTRO CP: 72000
Puebla , Puebla
(1222) 2295500 EXT 5266
(1222) 2295500 EXT 5270
COMUNICACIONINSTITUCIONAL.DCI@CORREO.BUAP.MX"
,,,,,,,,,
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,SECRETARIA GENERAL,"4 SUR 303 COL: CENTRO CP: 72000
Puebla , Puebla
(1222) 2295500 EXT 5266
(1222) 2295500 EXT 5270
COMUNICACIONINSTITUCIONAL.DCI@CORREO.BUAP.MX"
,,,,,,,,,
124,148614,CONOCIMIENTO Y VALORACIÓN DEL PATRIMONIO FERROVIARIO MEXICANO 2021_2SS,Serv Social,SERVICIOS EDUCATIVOS Y EXTENSIÓN/MUSEOLOGÍA Y MUSEOGRAFÍA/CONSERVACIÓN Y RESTAURACIÓN/ADMINISTRACIÓN,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,MUSEO NACIONAL DE LOS FERROCARRILES MEXICANOS,"11 NORTE ESQ. 10 PTE.1005 Col: CENTRO CP: 72000
Puebla,Puebla
(222)7740104 Ext:
(222) Ext:
MUSEOFERROCARRILESMEXICANOS@CONACULTA.GOB.MX;ROMALI65@YAHOO.COM.MX"
125,148634,IMPARTICIÓN DE CURSOS DE COMPUTACIÓN CON ENSEÑANZA DE PAQUETERÍA OFFICE E INTERNET A LA POBLACIÓN EN GENERAL,Serv Social,FACULTAD DE ADMINISTRACIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE ADMINISTRACION,"AVENIDA SAN CLAUDIO S/N COL: CIUDAD UNIVERSITARIA CP: 72592
Otro , Puebla
(222) 2295500 EXT 7750
(222) 2295500 EXT 7761
erika.granillo76@gmail.com"
126,148647,DIVULGACIÓN CIENTÍFICA,Serv Social,VIRTUAL/REMOTA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,"CIENCIA JOVEN, A.C.","15 NORTE8 Col: CENTRO CP: 72000
Puebla,Puebla
(222)2115755 Ext: -1
(222)6037213 Ext: 1
gen@cienciajoven.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,"CIENCIA JOVEN, A.C.","15 NORTE8 Col: CENTRO CP: 72000
Puebla,Puebla
(222)2115755 Ext: -1
(222)6037213 Ext: 1
gen@cienciajoven.mx"
,,,,,,,,,
127,148683,APLICACIÓN DE TECNOLOGÍAS DE LA INFORMACIÓN PARA DISMINUIR REZAGO EN LA EDUCACIÓN PRIMARIA,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7212
(222) 2295672 EXT
anzures@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7212
(222) 2295672 EXT
anzures@cs.buap.mx"
,,,,,,,,,
128,148689,DESARROLLO DE APLICACIONES COLABORATIVAS USANDO METODOLOGÍAS,Serv Social,"CIUDAD UNIVERSITARIA, FACULTAD DE CIENCIAS DE LA COMPUTACIÓN",Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7212
(222) 2295672 EXT
anzures@cs.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7212
(222) 2295672 EXT
anzures@cs.buap.mx"
,,,,,,,,,
129,148697,DESARROLLO DE INTERFACES DE USUARIO PARA TUTOAULA.,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7212
(222) 2295672 EXT
anzures@cs.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7212
(222) 2295672 EXT
anzures@cs.buap.mx"
,,,,,,,,,
130,148699,DESARROLLO DE UN ENTORNO DE GRUPOS BASADO EN E-MEETWARE,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7212
(222) 2295672 EXT
anzures@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7212
(222) 2295672 EXT
anzures@cs.buap.mx"
,,,,,,,,,
131,148701,DESARROLLO DE UN ENTORNO VIRTUAL PARA EL PROCESO DE ENSEÑANZA-APRENDIZAJE A NIVEL PRIMARIA EN NAHUATL,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7212
(222) 2295672 EXT
anzures@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7212
(222) 2295672 EXT
anzures@cs.buap.mx"
,,,,,,,,,
132,148707,INTEGRACIÓN DEL BACK-END Y FRONT-END PARA EL DESARROLLO WEB,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7212
(222) 2295672 EXT
anzures@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7212
(222) 2295672 EXT
anzures@cs.buap.mx"
,,,,,,,,,
133,148722,PROPIEDADES EMERGENTES DE POBLACIONES NEURONALES,Serv Social,INSTITUTO DE FISIOLOGÍA,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INSTITUTO DE FISIOLOGIA,"14 SUR 6301 COL: SAN MANUEL CP: 72570
Puebla , Puebla
(1222) 2295500 EXT 7326
(1222) 2295500 EXT 7323
eliasmanjarrez@gmail.com"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INSTITUTO DE FISIOLOGIA,"14 SUR 6301 COL: SAN MANUEL CP: 72570
Puebla , Puebla
(1222) 2295500 EXT 7326
(1222) 2295500 EXT 7323
eliasmanjarrez@gmail.com"
,,,,,,,,,
134,148768,GENERACIÓN DE MATERIAL DIDÁCTICO PARA LA ASIGNATURA DE CÁLCULO INTEGRAL,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN BUAP CIUDAD UNIVERSITARIA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AVE. SN. CLAUDIO Y 14 SUR EDIF 135 COL: SN. MANUEL CP: 72570
Puebla , Puebla
(222) 2285985 EXT 7222
(222) 2295672 EXT 7206
rgonzalez@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AVE. SN. CLAUDIO Y 14 SUR EDIF 135 COL: SN. MANUEL CP: 72570
Puebla , Puebla
(222) 2285985 EXT 7222
(222) 2295672 EXT 7206
rgonzalez@cs.buap.mx"
,,,,,,,,,
135,148769,GENERACIÓN DE MATERIAL DIDÁCTICO PARA LA ASIGNATURA DE ÁLGEBRA SUPERIOR,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN BUAP CIUDAD UNIVERSITARIA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AVE. SN. CLAUDIO Y 14 SUR EDIF 135 COL: SN. MANUEL CP: 72570
Puebla , Puebla
(222) 2285985 EXT 7222
(222) 2295672 EXT 7206
rgonzalez@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AVE. SN. CLAUDIO Y 14 SUR EDIF 135 COL: SN. MANUEL CP: 72570
Puebla , Puebla
(222) 2285985 EXT 7222
(222) 2295672 EXT 7206
rgonzalez@cs.buap.mx"
,,,,,,,,,
136,148770,GENERACIÓN DE MATERIAL DIDÁCTICO PARA LA MATERIA DE INVESTIGACIÓN DE OPERACIONES,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN BUAP CIUDAD UNIVERSITARIA,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AVE. SN. CLAUDIO Y 14 SUR EDIF 135 COL: SN. MANUEL CP: 72570
Puebla , Puebla
(222) 2285985 EXT 7222
(222) 2295672 EXT 7206
rgonzalez@cs.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AVE. SN. CLAUDIO Y 14 SUR EDIF 135 COL: SN. MANUEL CP: 72570
Puebla , Puebla
(222) 2285985 EXT 7222
(222) 2295672 EXT 7206
rgonzalez@cs.buap.mx"
,,,,,,,,,
137,148778,ACTUALIZACIÓN DE PAGINA WEB Y BASES DE DATOS,Serv Social,FACULTAD DE INGENIERÍA QUÍMICA,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE INGENIERIA QUIMICA,"AV SAN CLAUDIO Y 18 SUR SIN NUMERO COL: SAN MANUEL CP: 72240
Puebla , Puebla
(222) 2295500 EXT 7250
(222) 2295500 EXT 7251
valeriajordana@yahoo.com.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE INGENIERIA QUIMICA,"AV SAN CLAUDIO Y 18 SUR SIN NUMERO COL: SAN MANUEL CP: 72240
Puebla , Puebla
(222) 2295500 EXT 7250
(222) 2295500 EXT 7251
valeriajordana@yahoo.com.mx"
,,,,,,,,,
138,148790,"MODELADO, PARAMETRIZADO Y SIMULACIÓN DE MAQUINAS ELECTRICAS CON MOTORES Y GENERADORES (CORRIENTE DIRECTA Y ALTERNA)",Serv Social,FACULTAD DE CS. DE LA ELECTRONICA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"AV SAN CLAUDIO S/N COL: CD UNIVERSITARIA, LA HACIENDA CP: 72592
Puebla , Puebla
(222) 2 EXT 7400
(222) 2 EXT 7400
FCECASTELLBUAP@GMAIL.COM"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"AV SAN CLAUDIO S/N COL: CD UNIVERSITARIA, LA HACIENDA CP: 72592
Puebla , Puebla
(222) 2 EXT 7400
(222) 2 EXT 7400
FCECASTELLBUAP@GMAIL.COM"
,,,,,,,,,
139,148808,DESARROLLO DE SOFTWARE PARA EL MÓDULO IV DE LA FACULTAD DE COMPUTACIÓN,Serv Social,MÓDULO IV DE LA FACULTAD DE COMPUTACIÓN,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV SAN CLAUDIA Y 14 SUR 104 A COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7206
(222) 2295500 EXT 7206
carlosriosacevedo17@gmail.com"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV SAN CLAUDIA Y 14 SUR 104 A COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7206
(222) 2295500 EXT 7206
carlosriosacevedo17@gmail.com"
,,,,,,,,,
140,148809,DESARROLLO DE SOFTWARE PARA PROYECTOS DE INVESTIGACIÓN EN EL LABORATORIO DE DESARROLLO TECNOLÓGICO.,Serv Social,LABORATORIO DE DESARROLLO TECNOLÓGICO FCC-BUAP,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR Y AVENIDA SAN CLAUDIO S/N COL: SAN MANUEL CP: 72000
Puebla , Puebla
(222) 2222295500 EXT 7240
(222) 2222295500 EXT 7240
mlarios@cs.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR Y AVENIDA SAN CLAUDIO S/N COL: SAN MANUEL CP: 72000
Puebla , Puebla
(222) 2222295500 EXT 7240
(222) 2222295500 EXT 7240
mlarios@cs.buap.mx"
,,,,,,,,,
141,148815,CARACTERIZACIÓN DE INSTRUMENTOS MÉDICOS PARA ATACAR EL COVID-19: HVE CERN,Serv Social,FACULTAD DE CIENCIAS FÍSICO MATEMÁTICAS,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.FISICO MATEMATICAS,"AVENIDA SAN CLAUDIO Y 18 SUR S/N COL: SAN MANUEL CP: 72590
Puebla , Puebla
(222) 2295500 EXT 3671
(222) 2295500 EXT 7512
mario.rodriguez@correo.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.FISICO MATEMATICAS,"AVENIDA SAN CLAUDIO Y 18 SUR S/N COL: SAN MANUEL CP: 72590
Puebla , Puebla
(222) 2295500 EXT 3671
(222) 2295500 EXT 7512
mario.rodriguez@correo.buap.mx"
,,,,,,,,,
142,148818,GENERADORES DE MONTE CARLO DE COLISIONES ULTRA RELATIVISTAS ENTRE IONES PESADOS,Serv Social,FACULTAD DE CIENCIAS FÍSICO MATEMÁTICAS,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.FISICO MATEMATICAS,"AVENIDA SAN CLAUDIO Y 18 SUR S/N COL: SAN MANUEL CP: 72590
Puebla , Puebla
(222) 2295500 EXT 3671
(222) 2295500 EXT 7512
mario.rodriguez@correo.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.FISICO MATEMATICAS,"AVENIDA SAN CLAUDIO Y 18 SUR S/N COL: SAN MANUEL CP: 72590
Puebla , Puebla
(222) 2295500 EXT 3671
(222) 2295500 EXT 7512
mario.rodriguez@correo.buap.mx"
,,,,,,,,,
143,148833,COLABORACIÓN EN EL DESARROLLO DE TRABAJOS DE INVESTIGACIÓN,Serv Social,COORDINACIÓN DEL COLEGIO DE INGENIERÍA CIVIL DE LA FACULTAD DE INGENIERÍA,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE INGENIERIA,"Ciudad Universitaria S/No. COL: San Manuel CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7625
(222) 2455160 EXT 7625
ingsilviacb_@hotmail.com"
144,148848,DISEÑO Y DIFUSIÓN DE LA REVISTA ELEMENTOS CIENCIA Y CULTURA,Serv Social,CULTURA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,REVISTA ELEMENTOS,"14 SUR 6301 6301 COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7316
(222) 2295500 EXT 7301
esoto24@gmail.com"
145,148850,ANÁLISIS DE DATOS MÉDICOS USANDO RSTUDIO,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"Blvd. 14 Sur esquina Ave. San Claudio EDIFICIO CCO 2 CUBÍCULO 106 COL: San Manuel CP: 72560
Puebla , Puebla
(222) 22295500 EXT 2850
(1) 22295500 EXT 2850
sandoval@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"Blvd. 14 Sur esquina Ave. San Claudio EDIFICIO CCO 2 CUBÍCULO 106 COL: San Manuel CP: 72560
Puebla , Puebla
(222) 22295500 EXT 2850
(1) 22295500 EXT 2850
sandoval@cs.buap.mx"
,,,,,,,,,
146,148856,DISEÑO Y LOCALIZACIÓN DE EDIFICIOS HISTORICOS,Serv Social,CIENCIAS DE LA COMPUTACIÓN,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR S/N EDIFICIO 104C-SOTANO COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7241
(222) 2295500 EXT 7241
jumagoca78@gmail.com"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR S/N EDIFICIO 104C-SOTANO COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7241
(222) 2295500 EXT 7241
jumagoca78@gmail.com"
,,,,,,,,,
147,148858,SISTEMA DE GESTIÓN DE CONSUMO ENERGÉTICO,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR S/N EDIFICIO 104C-SOTANO COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7241
(222) 2295500 EXT 7241
jumagoca78@gmail.com"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR S/N EDIFICIO 104C-SOTANO COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7241
(222) 2295500 EXT 7241
jumagoca78@gmail.com"
,,,,,,,,,
148,148860,DISEÑO DE MATERIAL DIDÁCTICO EN LÍNEA,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV SAN CLAUDIO Y 14 SUR S/N EDIFICIO 104C-SOTANO COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 3923
(222) 2295500 EXT 3923
JOSEGUGA01@GMAIL.COM"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV SAN CLAUDIO Y 14 SUR S/N EDIFICIO 104C-SOTANO COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 3923
(222) 2295500 EXT 3923
JOSEGUGA01@GMAIL.COM"
,,,,,,,,,
149,148861,JUEGOS INTERACTIVOS PARA APOYO DE APRENDIZAJE PARA NIÑOS,Serv Social,CIENCIS DE LA COMPUTACIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV SAN CLAUDIO Y 14 SUR S/N EDIFICIO 104C-SOTANO COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 3923
(222) 2295500 EXT 3923
JOSEGUGA01@GMAIL.COM"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV SAN CLAUDIO Y 14 SUR S/N EDIFICIO 104C-SOTANO COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 3923
(222) 2295500 EXT 3923
JOSEGUGA01@GMAIL.COM"
,,,,,,,,,
150,148863,SISTEMA DE GESTIÓN DE PROGRAMAS EDUCATIVOS,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV SAN CLAUDIO Y 14 SUR S/N EDIFICIO 104C-SOTANO COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 3923
(222) 2295500 EXT 3923
JOSEGUGA01@GMAIL.COM"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV SAN CLAUDIO Y 14 SUR S/N EDIFICIO 104C-SOTANO COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 3923
(222) 2295500 EXT 3923
JOSEGUGA01@GMAIL.COM"
,,,,,,,,,
151,148870,ACTUALIZACIÓN DE LA PAGINA WEB DEL SERVICIO SOCIAL DE LA FCC.,Serv Social,FACULTAD DE CS. DE LA COMPUTACIÓN.,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AVENIDA SAN CLAUDIO Y 14 SUR EDIFICIO 104A, CIUDAD UNIVERSITARIA COL: SAN MANUEL CP: 72570
Puebla , Puebla
(45) 2223860111 EXT
(222) 2295672 EXT
nespinoza@cs.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AVENIDA SAN CLAUDIO Y 14 SUR EDIFICIO 104A, CIUDAD UNIVERSITARIA COL: SAN MANUEL CP: 72570
Puebla , Puebla
(45) 2223860111 EXT
(222) 2295672 EXT
nespinoza@cs.buap.mx"
,,,,,,,,,
152,148871,ESTADÍSTICOS Y MANEJO DE LA INFORMACIÓN DEL SS DE LA FCC.,Serv Social,FACULTAD DE CS.DE LA COMPUTACIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AVENIDA SAN CLAUDIO Y 14 SUR EDIFICIO 104A, CIUDAD UNIVERSITARIA COL: SAN MANUEL CP: 72570
Puebla , Puebla
(45) 2223860111 EXT
(222) 2295672 EXT
nespinoza@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AVENIDA SAN CLAUDIO Y 14 SUR EDIFICIO 104A, CIUDAD UNIVERSITARIA COL: SAN MANUEL CP: 72570
Puebla , Puebla
(45) 2223860111 EXT
(222) 2295672 EXT
nespinoza@cs.buap.mx"
,,,,,,,,,
153,148872,JUEGA DIVIÉRTETE Y APRENDE VALORES,Serv Social,FACULTAD DE CS.DE LA COMPUTACIÓN,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AVENIDA SAN CLAUDIO Y 14 SUR EDIFICIO 104A, CIUDAD UNIVERSITARIA COL: SAN MANUEL CP: 72570
Puebla , Puebla
(45) 2223860111 EXT
(222) 2295672 EXT
nespinoza@cs.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AVENIDA SAN CLAUDIO Y 14 SUR EDIFICIO 104A, CIUDAD UNIVERSITARIA COL: SAN MANUEL CP: 72570
Puebla , Puebla
(45) 2223860111 EXT
(222) 2295672 EXT
nespinoza@cs.buap.mx"
,,,,,,,,,
154,148873,SOPORTE ADMINISTRATIVO EN LOS PROCESOS DE LA DIRECCIÓN DE LA FCC.,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AVENIDA SAN CLAUDIO Y 14 SUR EDIFICIO 104A, CIUDAD UNIVERSITARIA COL: SAN MANUEL CP: 72570
Puebla , Puebla
(45) 2223860111 EXT
(222) 2295672 EXT
nespinoza@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AVENIDA SAN CLAUDIO Y 14 SUR EDIFICIO 104A, CIUDAD UNIVERSITARIA COL: SAN MANUEL CP: 72570
Puebla , Puebla
(45) 2223860111 EXT
(222) 2295672 EXT
nespinoza@cs.buap.mx"
,,,,,,,,,
155,148874,DIAGNÓSTICO DE PERCEPCIÓN DE LOS DISPOSITIVOS DE VIGILANCIA ELECTRÓNICA EN MATERIA DE SEGURIDAD PÚBLICA,Serv Social,FACULTAD DE DERECHO Y CIENCIAS SOCIALES,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE DERECHO Y CS.SOCIALES,"AVE. SAN CLAUDIO Y BLVD. DE LA 22 SUR SN COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7727
(0) 0 EXT 0000
MISAEL.GONZALEZ@CORREO.BUAP.MX"
